case_id,case_kind,repeat,io_threads,connections,payload_size_bytes,qps,latency_avg_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,tx_kib_per_s,rx_kib_per_s,mrpc_connections_active,mrpc_requests_inflight,mrpc_completed_requests_average_qps,mrpc_latency_queue_average_ms,mrpc_latency_queue_max_ms,mrpc_latency_handler_average_ms,mrpc_latency_handler_max_ms,mrpc_latency_io_return_average_ms,mrpc_latency_io_return_max_ms,mrpc_latency_end_to_end_average_ms,mrpc_latency_end_to_end_max_ms,mrpc_worker_rejections_total,mrpc_protocol_errors_total
payload__io8__conn200__payload16,payload,2,8,200,16,49285.707498,4.043013,3.921534,5.333092,7.006109,8.716547,75.302069,3176.617866,2406.528686,0.0,0.0,48036.1,0.015821,4.334,0.00143208,0.765,0.865649,8.013,0.888029,8.024,0.0,0.0
payload__io8__conn200__payload16,payload,3,8,200,16,49242.45999,4.046201,3.935986,5.334955,6.95151,8.531122,54.258924,3173.830429,2404.416992,0.0,0.0,48152.3,0.0158105,4.334,0.00143183,0.765,0.863116,8.013,0.885505,8.024,0.0,0.0
payload__io8__conn200__payload256,payload,1,8,200,256,49152.557081,4.053369,3.936834,5.331711,6.945152,8.556795,72.46563,14688.166472,13920.157767,0.0,0.0,47196.5,0.0160274,3.541,0.00168508,1.328,0.852506,6.664,0.87527,6.921,0.0,0.0
payload__io8__conn200__payload256,payload,2,8,200,256,49496.382808,4.026022,3.912828,5.263742,6.853016,9.19854,68.468491,14790.911269,14017.530287,0.0,0.0,47822.5,0.0158216,3.541,0.00168056,1.328,0.847022,9.029,0.869578,9.059,0.0,0.0
payload__io8__conn200__payload256,payload,3,8,200,256,49173.004293,4.053426,3.925976,5.357316,7.041928,8.937191,70.734214,14694.276673,13925.948481,0.0,0.0,47980.1,0.0158038,3.541,0.00168125,1.328,0.851088,9.029,0.873627,9.059,0.0,0.0
payload__io8__conn200__payload4096,payload,1,8,200,4096,47045.532688,4.235232,4.121263,5.530761,7.172817,8.972332,61.171512,190479.275905,189744.189456,0.0,0.0,45228.1,0.0169838,3.968,0.00339149,0.796,0.895188,6.259,0.921209,6.472,0.0,0.0
payload__io8__conn200__payload4096,payload,2,8,200,4096,46309.960479,4.302992,4.166481,5.660798,7.586779,9.871206,67.646216,187501.070457,186777.477324,0.0,0.0,45353.0,0.0171334,3.968,0.00335883,0.796,0.899138,6.259,0.92527,6.472,0.0,0.0
payload__io8__conn200__payload4096,payload,3,8,200,4096,46519.024712,4.282335,4.15278,5.622084,7.376649,9.510342,89.809146,188347.535601,187620.67584,0.0,0.0,45471.6,0.0172206,3.989,0.00334159,0.796,0.896592,6.79,0.922803,6.826,0.0,0.0
payload__io8__conn200__payload16384,payload,1,8,200,16384,38830.196474,5.12982,4.960631,6.710989,8.862956,11.688627,73.452375,623179.149277,622572.427457,0.0,0.0,37679.1,0.0220473,3.558,0.0112976,29.504,1.06572,32.453,1.10681,32.501,0.0,0.0
payload__io8__conn200__payload16384,payload,2,8,200,16384,30872.225679,6.445569,5.822646,9.51839,16.684962,26.407121,74.174822,495463.043761,494980.665235,0.0,0.0,34349.9,0.0241038,5.348,0.011847,29.504,1.18431,32.453,1.22858,32.501,0.0,0.0
payload__io8__conn200__payload16384,payload,3,8,200,16384,27396.752418,7.269001,6.603068,10.961417,17.553422,27.064269,85.42417,439685.770745,439257.696488,0.0,0.0,32150.0,0.0261389,5.348,0.012371,29.504,1.27183,32.453,1.31909,32.501,0.0,0.0
